[2025-04-25 07:32:56] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:33:33] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:39:41] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:39:51] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:40:22] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:40:47] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:41:29] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:42:54] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:43:15] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:43:26] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:43:37] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:44:16] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:44:26] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:44:38] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:44:50] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:45:07] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:45:39] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:45:59] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:46:11] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:46:22] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:46:55] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:47:16] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:48:02] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:48:14] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:48:26] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:48:37] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:49:08] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:49:37] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:49:54] Player 67 is NOT on boss tile, calling getMonsterList
